time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,distance_from_loc
2023-11-04T07:33:19.790Z,35.5971667,-117.8771667,8.41,0.56,ml,10.0,82.0,0.0156,0.15,ci,ci39707242,2023-11-04T07:36:59.431Z,"8 km SW of Inyokern, CA",earthquake,0.4,0.64,0.184,5.0,automatic,ci,ci,4939.160083974739
2023-11-04T17:11:33.477Z,57.8236,-153.3854,47.5,2.2,ml,,,,0.39,ak,ak023e5npotz,2023-11-04T17:15:27.650Z,"30 km W of Port Lions, Alaska",earthquake,,1.8,,,automatic,ak,ak,4953.584789095306
2023-11-04T07:10:24.930Z,37.7615013,-122.0136642,7.38,1.5,md,10.0,96.0,,0.07,nc,nc73955845,2023-11-04T08:56:10.773Z,"4 km WSW of San Ramon, CA",earthquake,0.4,0.65,0.1,8.0,automatic,nc,nc,4980.327331515178
2023-11-04T16:00:00.860Z,37.7244987,-122.1516647,6.06,1.06,md,7.0,147.0,0.02567,0.07,nc,nc73956005,2023-11-04T16:53:16.596Z,"0 km E of San Leandro, CA",earthquake,0.65,1.48,0.05,2.0,automatic,nc,nc,4991.187323795316
2023-11-04T03:55:44.830Z,34.0506667,-116.3535,7.12,0.74,ml,11.0,60.0,0.0355,0.13,ci,ci39706946,2023-11-04T03:59:18.109Z,"10 km SSW of Joshua Tree, CA",earthquake,0.35,0.55,0.138,10.0,automatic,ci,ci,4992.1953307195345
2023-11-04T13:50:15.210Z,36.9700012,-121.6273346,3.95,1.19,md,8.0,88.0,0.03913,0.03,nc,nc73955985,2023-11-04T15:27:12.126Z,"7 km SW of Gilroy, CA",earthquake,0.36,0.54,0.16,7.0,automatic,nc,nc,5027.268543325105
2023-11-04T19:13:17.280Z,34.0493333,-117.1676667,6.2,0.95,ml,24.0,63.0,0.04792,0.24,ci,ci39707818,2023-11-04T19:16:52.022Z,"2 km ESE of Redlands, CA",earthquake,0.4,0.94,0.18,23.0,automatic,ci,ci,5037.1000343576015
2023-11-04T10:37:00.780Z,36.6801682,-121.3518295,0.1,1.55,md,9.0,85.0,0.02757,0.11,nc,nc73955950,2023-11-04T13:23:13.361Z,"12 km SSW of Tres Pinos, CA",earthquake,0.45,1.15,0.21,7.0,automatic,nc,nc,5037.131703690538
2023-11-04T20:37:31.250Z,34.1373333,-117.433,3.6,1.9,ml,25.0,53.0,0.1076,0.25,ci,ci39707866,2023-11-04T20:41:05.967Z,"5 km NNE of Fontana, CA",earthquake,0.44,1.35,0.226,21.0,automatic,ci,ci,5043.873745254223
2023-11-04T20:37:12.420Z,34.131,-117.442,6.43,1.73,ml,63.0,31.0,0.03147,0.25,ci,ci39707858,2023-11-04T20:48:13.770Z,"4 km NNE of Fontana, CA",earthquake,0.26,0.76,0.181,26.0,automatic,ci,ci,5044.933748126392
2023-11-04T21:08:45.800Z,33.989,-117.2126667,15.78,0.96,ml,33.0,58.0,0.1272,0.25,ci,ci39707890,2023-11-04T21:12:20.224Z,"7 km NNE of Moreno Valley, CA",earthquake,0.37,0.92,0.218,25.0,automatic,ci,ci,5044.957706376868
2023-11-04T08:03:22.650Z,33.4965,-116.4203333,7.7,0.37,ml,14.0,93.0,0.1107,0.25,ci,ci39707250,2023-11-04T08:07:02.678Z,"21 km SSW of La Quinta, CA",earthquake,0.68,2.3,0.211,7.0,automatic,ci,ci,5045.427391917906
2023-11-04T21:12:41.170Z,33.4908333,-116.4185,6.75,1.11,ml,41.0,63.0,0.03303,0.18,ci,ci39707914,2023-11-04T21:16:14.628Z,"22 km SSW of La Quinta, CA",earthquake,0.22,0.56,0.204,27.0,automatic,ci,ci,5045.834605887295
2023-11-04T01:38:54.680Z,33.6705,-116.7348333,14.34,0.99,ml,35.0,58.0,0.04407,0.16,ci,ci39706890,2023-11-04T16:36:23.320Z,"8 km S of Idyllwild, CA",earthquake,0.23,0.37,0.206,25.0,reviewed,ci,ci,5047.121902049816
2023-11-04T09:37:09.000Z,33.6655,-116.7408333,16.18,0.56,ml,16.0,78.0,0.05069,0.16,ci,ci39707282,2023-11-04T16:33:17.894Z,"8 km SSW of Idyllwild, CA",earthquake,0.44,0.65,0.117,9.0,reviewed,ci,ci,5047.898971448368
2023-11-04T16:26:20.720Z,33.7621667,-116.9378333,13.99,0.94,ml,29.0,73.0,0.07565,0.2,ci,ci39707586,2023-11-04T16:30:02.547Z,"3 km SE of San Jacinto, CA",earthquake,0.33,0.66,0.103,23.0,automatic,ci,ci,5050.08593177537
2023-11-04T03:59:18.360Z,32.8718333,-115.4936667,7.67,1.29,ml,10.0,163.0,0.04953,0.26,ci,ci39706954,2023-11-04T04:02:52.112Z,"8 km ENE of Imperial, CA",earthquake,1.23,1.0,0.14,12.0,automatic,ci,ci,5050.814457878526
